,Unnamed: 0.1,Unnamed: 0,article,qid,total_pageviews,description,category,page_size,revisions_since_2024,incoming_number,outgoing_number
97,97,97,Blue_zone,Q3299670,352556,Disputed scientific concept of regions of the world where people are claimed to live longer than average,Mid-importance,12434.0,166,168,167
98,98,98,Body_massager,Q179415,330,"mechanical manipulation of skin, connective tissue and muscles through stretching, train and pressure stimulus",Low-importance,21.0,0,0,1
99,99,99,Body_roundness_index,Q131191528,2836,body scale based on waist circumference and height,Low-importance,15370.0,124,58,160
100,100,100,Body_shaming,Q63522120,2119,discrimination based on appearance,Low-importance,6117.0,18,108,46
101,101,101,Body_shape,Q1072278,6507,general shape of a person defined by the molding of skeletal structures and the distribution of muscles and fat,Mid-importance,32391.0,70,124,284
102,102,102,Bodyweight_exercise,Q450743,91,strength-training exercise to provide resistance against gravity,Mid-importance,204.0,11,112,7
103,103,103,Bowflex,Q4950971,1515,Type of excercise equipment,Low-importance,7200.0,14,18,33
104,104,104,"Brad_Johnson_(actor,_born_1959)",Q896805,114456,American actor (1959–2022),Low-importance,9285.0,15,61,89
105,105,105,Brendan_Carr_(physician),Q107524430,766,US medical doctor and professor,Low-importance,17927.0,33,8,74
106,106,106,Brett_Giroir,Q4962188,6164,American pediatrician and Assistant Secretary for Health,Low-importance,45561.0,23,275,490
107,107,107,Bulletproof_Coffee,Q19559986,244,"Entrepreneur, businessman, biohacker and author",Low-importance,60.0,0,3,5
108,108,108,Burnout_(psychology),Q327988,273,"type of work-related stress, with symptoms characterized by feelings of energy depletion or exhaustion; increased mental distance from one’s job, or feelings of negativism or cynicism related to one's job; and reduced professional efficacy",High-importance,112.0,0,108,15
109,109,109,Burpee_(exercise),Q3270872,83174,"full body exercise based on squat thrusts, providing cardio and strength training",Low-importance,11434.0,24,69,60
110,110,110,CPR,Q185325,33239,emergency procedure to maintain the blood flow to vital organs and to restore normal heart function after sudden cardiac arrest also restarting the heart,Mid-importance,157.0,3,393,17
111,111,111,CVS_Health,Q624375,242622,company,Low-importance,59503.0,72,204,290
112,112,112,Calf_raises,Q580077,151,training exercise,Unknown-importance,5990.0,11,70,88
113,113,113,Calico_(company),Q14932155,10625,American biotech company founded by Alphabet Inc.,Low-importance,15101.0,51,116,1127
114,114,114,California_Smog_Check_Program,Q5020967,78555,vehicle emission inspection program in the U.S. state of California,Low-importance,32906.0,24,7,129
115,115,115,Calisthenics,Q2471790,443561,"form of exercise consisting of a variety of exercises, often rhythmical",Unknown-importance,31378.0,101,299,196
116,116,116,Cancer_Act_1939,Q5031396,554,Act of Parliament of the United Kingdom,Low-importance,13467.0,13,16,63
117,117,117,Carbon_monoxide_detector,Q3045295,1638,electronic detector that measures carbon monoxide (CO),Mid-importance,21896.0,22,151,214
118,118,118,Cardiopulmonary_resuscitation,Q185325,149174,emergency procedure to maintain the blood flow to vital organs and to restore normal heart function after sudden cardiac arrest also restarting the heart,Mid-importance,135333.0,140,904,782
119,119,119,Caregiver,Q553079,18653,person helping another with activities of daily living,Low-importance,63328.0,28,363,298
120,120,120,Carissa_Etienne,Q15138398,1428,Caribbean physician,Mid-importance,7855.0,10,9,48
121,121,121,Castile_soap,Q3302590,38361,olive oil-based soap,Low-importance,6203.0,8,84,99
122,122,122,Cdc,Q583725,2636,United States government public health agency,High-importance,145.0,3,2,13
123,123,123,Centene_Corporation,Q5059102,84699,American multinational healthcare company,Low-importance,23911.0,18,96,116
124,124,124,Center_for_Disease_Control,Q583725,2609,United States government public health agency,High-importance,110.0,3,7,5
125,125,125,Centers_for_Disease_Control,Q583725,2716,United States government public health agency,High-importance,109.0,1,697,7
126,126,126,Centers_for_Disease_Control_and_Prevention,Q583725,467941,United States government public health agency,High-importance,150606.0,284,4223,1065
127,127,127,Central_Bathhouse_Vienna,Q190203,1094,Residential building with traditional bathing house (now a gay sauna) in Vienna,Unknown-importance,6842.0,3,7,26
128,128,128,Chain-smoker,Q1435005,288,practice of smoking several cigarettes/cigars in succession,Low-importance,27.0,0,8,1
129,129,129,Chain_smoker,Q1435005,1123,practice of smoking several cigarettes/cigars in succession,Low-importance,27.0,0,37,1
130,130,130,Chain_smoking,Q1435005,56710,practice of smoking several cigarettes/cigars in succession,Low-importance,4440.0,26,341,213
131,131,131,Charles_A._Elcan,Q22073601,209,American business executive,Low-importance,5692.0,6,7,29
132,132,132,Charles_Atlas,Q368744,51392,American bodybuilder (1892–1972),Low-importance,15791.0,23,215,223
133,133,133,Chester_Yorton,Q984095,116,bodybuilder (1940–2020),Low-importance,4036.0,19,9,36
134,134,134,Childhood_dementia,Q130781538,600,group of neurodegenerative conditions,Low-importance,20469.0,158,5,94
135,135,135,Childhood_obesity,Q3241451,22981,condition where excess body fat negatively affects a child's health or well-being,Mid-importance,87309.0,33,306,592
136,136,136,Children's_Healthcare_of_Atlanta,Q23074176,558,"hospital in Georgia, United States",Mid-importance,19879.0,29,88,103
137,137,137,Chinese_laundry,Q852100,1720,process of washing textiles,Low-importance,74.0,0,25,5
138,138,138,Christian_diet_programs,Q4903085,1308,eating practice intended to promote health in Christian culture,Low-importance,13563.0,5,27,176
139,139,139,Cigarette,Q1578,421516,small roll of cut drug (typically tobacco) designed to be smoked,Mid-importance,139432.0,144,1241,961
140,140,140,Cigarette_filter,Q2361201,147142,cigarette component,Unknown-importance,18904.0,53,151,191
141,141,141,Cigarette_smoking,Q7212330,1171,practice of burning tobacco and inhaling the resulting smoke,High-importance,29.0,0,65,1
142,142,142,Circuit_training,Q205821,183,training to develop endurance and strength simultaneously,Low-importance,5630.0,18,59,107
143,143,143,Cistern,Q838858,250493,"artificial reservoirs for the storage of water, typically water-tight tanks in a high part of a building or underground",Mid-importance,20533.0,33,1984,629
144,144,144,ClassPass,Q19864979,429,American fitness startup company based in New York City,Low-importance,14375.0,39,16,86
145,145,145,Clean_eating,Q25459466,3096,consumption of foods that are considered healthy for the body,Low-importance,6654.0,23,75,170
146,146,146,Cleanliness,Q692096,130,abstract state of being clean and free from dirt,Low-importance,26523.0,15,312,374
147,147,147,Cleavage_(breasts),Q2087952,135799,full or partial exposure of the separation between a woman's breasts by clothing,Low-importance,193950.0,116,135,1050
148,148,148,Cleverman,Q113159137,180,Australian Aboriginal spiritual healers,Low-importance,18461.0,4,8,107
149,149,149,Clinical_coder,Q116494,5441,health care professional whose main duties are to analyse clinical statements and assign standard codes using a classification system,Low-importance,20759.0,6,17,152
150,150,150,Clinical_depression,Q42844,760444,"all-encompassing low mood accompanied by low self-esteem, and by loss of interest or pleasure in normally enjoyable activities",High-importance,155.0,0,898,14
151,151,151,Coach_(sport),Q41583,142,"person involved in directing, instructing and training sportspeople",High-importance,37658.0,27,5186,272
152,152,152,Cognitive_load,Q1107019,6831,"effort being used in the working memory, which can be differentiated into three types: intrinsic, extraneous, and germane",Unknown-importance,50614.0,57,389,676
153,153,153,Cognitive_shuffle,Q123561006,985,"Cognitive strategy meant to facilitate initial sleep onset, or subsequent sleep onset after the initial sleep",Low-importance,12606.0,10,1,46
154,154,154,Colgate_(toothpaste),Q2523492,4738,brand of toothpaste,Low-importance,7262.0,26,193,91
155,155,155,Comb,Q23834,496,"toothed device used for styling, cleaning and managing hair and scalp",Low-importance,21094.0,15,392,387
156,156,156,Commodity_Supplemental_Food_Program,Q28402615,292,United States food assistance program,Low-importance,10323.0,6,58,84
157,157,157,CommonSpirit_Health,Q85753582,24508,hospital network in the United States,Unknown-importance,8177.0,14,47,34
158,158,158,Community_health,Q3473024,1623,field of public health focusing on the health of communities,Unknown-importance,40625.0,40,448,403
159,159,159,Connecticut_Death_Index,Q5161508,936,public health data,Low-importance,1103.0,1,2,9
160,160,160,Consent,Q231043,10924,expression granting permission to proceed with a proposal,Mid-importance,33451.0,57,903,1163
161,161,161,Cookie_diet,Q5167095,110,fad diet,Low-importance,2230.0,10,60,136
162,162,162,Corizon,Q5172791,483,privately held prison healthcare contractor,Mid-importance,20772.0,6,10,92
163,163,163,Craniocervical_instability,Q85754469,3954,Medical condition affecting the cervical spine,Unknown-importance,9283.0,10,97,98
164,164,164,Crash_diet,Q4310180,156,diet with very or extremely low daily food energy consumption,Mid-importance,85.0,1,21,8
165,165,165,Crest_(toothpaste),Q3002499,206,brand of oral hygiene products made by Procter & Gamble,Low-importance,15089.0,35,140,178
166,166,166,CrossFit,Q2072840,128857,branded fitness regimen,Low-importance,91336.0,279,207,392
167,167,167,CrossFit_Games,Q17522146,47027,Athletic competition organized by Crossfit Inc.,Mid-importance,85457.0,135,546,713
168,168,168,Cruciferous_vegetables,Q5189799,396425,vegetables of the family Brassicaceae,Low-importance,14108.0,20,103,160
169,169,169,Crunch_(exercise),Q811154,2959,abdominal excercise,Mid-importance,6721.0,17,86,99
170,170,170,Crunch_Fitness,Q5190093,5551,Canadian multinational fitness center chain,Low-importance,15505.0,35,38,60
171,171,171,Curves_International,Q5196080,111,US international fitness center chain,Low-importance,16790.0,4,20,75
172,172,172,Cycling,Q53121,9888,"riding a bicycle (transportation, sport, exercise, recreation...)",Unknown-importance,91925.0,95,1790,759
173,173,173,Cynthia_Kereluk,Q5200093,6569,Canadian exercise guru,Unknown-importance,8411.0,4,17,65
174,174,174,DASH_diet,Q5204325,38310,dietary pattern intended to prevent and control hypertension,Mid-importance,36545.0,25,139,280
175,175,175,Dabur,Q2723075,132,Indian manufacturer,Mid-importance,14129.0,39,295,279
176,176,176,Dad_bod,Q25108667,28088,type of male physique,Low-importance,3748.0,6,12,23
177,177,177,Dan_Wikler,Q5214593,3144,American philosopher,Low-importance,12845.0,12,16,113
178,178,178,Dance_Dance_Revolution,Q908392,72884,video game series,Low-importance,59472.0,101,457,314
179,179,179,Dandruff,Q117484,108897,skin condition mainly affecting the scalp causing flaking and itchiness,Mid-importance,24261.0,68,126,225
180,180,180,Daniel_Fast,Q17001964,77512,10- or 21-day abstinence from foods declared unclean by God in the Laws of Moses,Unknown-importance,19458.0,7,19,355
181,181,181,Darlie,Q701133,1174,brand of toothpaste,Low-importance,9840.0,58,68,115
182,182,182,Dave_Asprey,Q19559986,80612,"Entrepreneur, businessman, biohacker and author",Low-importance,26816.0,44,89,255
183,183,183,David_L._Katz,Q15429303,243,American physician,Low-importance,12696.0,10,150,236
184,184,184,David_Laid,Q130416875,4223,American fitness influencer (born 1990s),Unknown-importance,10891.0,214,3,52
185,185,185,David_McLean_(actor),Q3018429,5829,American film and television actor (1922-1995),Low-importance,10014.0,13,42,77
186,186,186,Deadlift,Q608288,132783,exercise and power sport,Unknown-importance,33190.0,341,424,169
187,187,187,Dean_Ornish,Q1181109,9952,American physician and photographer (1953- ),Low-importance,18195.0,16,438,545
188,188,188,Deathcare,Q109297311,188,"planning, provision, and improvement of post-death services",Low-importance,19904.0,14,9,106
189,189,189,Deconditioning,Q5249582,109,adaptation of an organism to less demanding environment or the decrease of physiological adaptation to normal conditions,Mid-importance,3566.0,16,31,36
190,190,190,Decriminalization_of_sex_work,Q17001582,90,removal of criminal penalties for sex work,Low-importance,91810.0,46,406,605
191,191,191,Delisting_(Canadian_medicare),Q6806631,176,"Canada's publicly funded, single-payer health care system",High-importance,106.0,1,1,15
192,192,192,Denise_Austin,Q5257615,120100,"American fitness instructor, author, and columnist",Unknown-importance,17362.0,6,27,105
193,193,193,Dental_floss,Q143978,11645,cord of thin filaments used to clean teeth,High-importance,34392.0,29,177,243
194,194,194,Department_of_Health_(Philippines),Q3545669,98,Philippine government agency,Unknown-importance,22647.0,44,731,278
195,195,195,Department_of_Veterans_Affairs,Q592576,3434,department of the United States government,Low-importance,57.0,0,104,1
196,196,196,Depression_(mood),Q4340209,360444,state of low mood and aversion to activity,Mid-importance,63078.0,98,4605,626
197,197,197,Depression_Quest,Q18149194,8121,2013 video game,Low-importance,18352.0,9,10,91
198,198,198,Dettol,Q15061688,8037,brand of antiseptic and cleaning supplies,Low-importance,3942.0,15,177,74
199,199,199,Dip_(exercise),Q43417,119,type of bodyweight exercise,Unknown-importance,6119.0,7,72,105
200,200,200,Disabilities,Q12131,524,"impairments, activity and participation limitations of a person",Unknown-importance,77.0,0,245,11
201,201,201,Disability,Q12131,117983,"impairments, activity and participation limitations of a person",Unknown-importance,160610.0,199,3119,990
202,202,202,Disability-adjusted_life_year,Q55627,2110,"health indicator combining severity and duration of disease and loss of life. Can be measured as numbers of healthy years lost in a population, or as rate divided by person-time lived.",Mid-importance,26441.0,53,383,269
203,203,203,Disability_in_Iran,Q56361705,144,,Unknown-importance,9317.0,3,82,228
204,204,204,Disease,Q12136,382494,abnormal condition negatively affecting organisms,High-importance,62691.0,89,2141,557
205,205,205,Disinfectant,Q73984,5671,antimicrobial agent that is applied to non-living objects (compare: antisepsis) to reduce the number of microorganisms (unwanted germs and parasites) on them (compare:sterilization),Low-importance,59296.0,77,487,409
206,206,206,Disposable_vapes,Q189511,703,device usually used to quit or be an alternative to tobacco,Low-importance,33.0,0,11,1
207,207,207,DoTerra,Q18149972,21459,American multi-level marketing company,Low-importance,30840.0,49,103,214
208,208,208,Dopamine_fasting,Q85757440,24865,temporary abstinence from addictive technologies,Unknown-importance,16577.0,83,8,73
209,209,209,Doramad_Radioactive_Toothpaste,Q1243726,2686,radioactive toothpaste produced on Germany,Low-importance,6801.0,8,7,38
210,210,210,Double_Dutch_(jump_rope),Q960858,7687,game of skill,Low-importance,14085.0,38,134,301
211,211,211,Doug_Brignole,Q116206795,3153,American bodybuilder and fitness coach,Unknown-importance,13255.0,28,3,32
212,212,212,Dove_(Unilever_brand),Q962709,2362,personal care brand owned by Unilever,Low-importance,20739.0,82,162,249
213,213,213,Dove_(toiletries),Q962709,17338,personal care brand owned by Unilever,Low-importance,82.0,1,110,5
214,214,214,Downward_Dog_Pose,Q2435158,8469,asana,Mid-importance,23198.0,16,380,354
215,215,215,Doximity,Q5303699,376,"company in San Mateo, United States",Low-importance,17292.0,48,373,472
216,216,216,Dr._Dot,Q112570227,159,American massage therapist,Low-importance,21807.0,28,2,156
217,217,217,Draft:Ramon_Dino,Q109859288,2166,professional Brazilian Bodybuilder,Unknown-importance,71.0,0,0,5
218,218,218,Drinking_in_public,Q1543841,2291,social customs and laws concerning drinking alcohol in public,Low-importance,62917.0,122,252,505
219,219,219,Druid,Q131081,639728,priest of Celtic religion,Mid-importance,70414.0,87,1535,1902
220,220,220,Drunkorexia,Q4167713,163,term for a food and drink disorder,Low-importance,12428.0,8,217,290
221,221,221,Duckwalk,Q1263550,2303,walking while partially squatting,Low-importance,5877.0,5,19,31
222,222,222,Dukan_Diet,Q24386,1095,diet plan,Low-importance,7751.0,18,132,171
223,223,223,Dumbbell,Q465453,2189,piece of equipment used in weight training,Mid-importance,7277.0,30,164,47
224,224,224,Eating_mucus,Q5331299,1666,Act of ingesting mucus,Low-importance,5071.0,17,10,342
225,225,225,Eddie_Hall,Q5336657,486035,British strongman,Low-importance,42229.0,342,154,243
226,226,226,Edgewell_Personal_Care,Q5337641,257,American consumer products company,Low-importance,12777.0,27,43,81
227,227,227,Effects_of_climate_change_on_human_health,Q2979220,1707,how climate change effects human health,Mid-importance,118827.0,177,739,864
228,228,228,Effects_of_nicotine_on_human_brain_development,Q85758687,434,effects of electronic cigarettes on the developing human brain,Low-importance,89810.0,24,33,492
229,229,229,Effects_of_the_car_on_societies,Q2215004,560,positive and negative impacts of cars on society,Low-importance,85.0,2,58,5
230,230,230,Elastic_therapeutic_tape,Q917517,2960,pseudo-medicine product; elastic cotton strip with an acrylic adhesive,Low-importance,19369.0,62,26,464
231,231,231,Elazer_Edelman,Q22073799,18973,"American engineer, scientist and cardiologist",Unknown-importance,31.0,0,2,1
232,232,232,Elazer_R._Edelman,Q22073799,445,"American engineer, scientist and cardiologist",Unknown-importance,15860.0,15,13,98
233,233,233,Electrical_muscle_stimulation,Q653580,5628,elicitation of muscle contraction using electric impulses,Mid-importance,27960.0,30,93,146
234,234,234,Electronic_bidet,Q17010251,219,toilet and bidet combination,Unknown-importance,8863.0,21,152,219
235,235,235,Electronic_cigarette,Q189511,298342,device usually used to quit or be an alternative to tobacco,Low-importance,176787.0,325,451,996
236,236,236,Elizabeth_Anionwu,Q5362304,1028,"British nurse, professor and activist",Low-importance,18154.0,25,19,107
237,237,237,Emi_Wong,Q119938304,5947,Hong Kong YouTuber,Low-importance,30108.0,18,10,120
238,238,238,Emotional_support_animal,Q5373799,16027,companion animal that a medical professional has determined provides benefit for an individual with a disability,Low-importance,52563.0,114,36,180
